tree	PolySolver_dlc	PolySolver_nad	PolySolver_dup	PolySolver_lost	PolySolver_rf	PolySolver_maxrf	PolySolver_dinl	PolySolver_p-val	PolySolver_time	ML_time	total_polytomy	polysolver_nsol	best_sol_aLRT	is_bestrf	best_rf
590	17	0	14	11	8	101	1.50327	0.269667	0.617237091064	7.40483093262	8	1	-37821.423382	True	8
633	15	0	15	12	20	105	18.0036	0.00550828	0.694451093674	9.2810781002	8	1	-43264.450696	True	20
821	18	0	14	30	14	102	3.11751	0.141309	0.625944852829	8.89133191109	7	1	-42282.734726	True	14
211	20	0	15	21	52	119	765.476	1.82533e-80	1.58064007759	16.8592000008	3	6	-54842.537156	True	52
356	17	0	13	28	18	102	4.36231	0.131979	1.6839621067	11.9752578735	10	1	-43927.237392	True	18
918	11	0	16	27	14	100	3.66334	0.136561	1.79244494438	11.646914959	6	1	-45579.352309	True	14
481	14	0	11	11	12	97	15.0105	0.00750441	1.92307901382	13.6452260017	6	1	-49968.139493	True	12
522	18	0	15	3	44	113	431.562	1.76546e-49	1.74055790901	11.1824629307	3	2	-53520.530371	True	44
659	19	1	13	21	18	100	7.53693	0.0577932	0.565254926682	10.8069369793	8	1	-46695.183312	True	18
684	17	0	16	16	14	98	2.25552	0.276197	1.56434321404	5.48336791992	9	1	-40431.114345	True	14
796	22	1	14	8	14	96	14.5812	0.0133315	0.609467029572	4.81696200371	8	1	-48868.797606	True	14
923	17	0	12	12	8	93	0.76331	0.362226	0.687412977219	9.57233810425	8	1	-36621.465225	True	8
186	22	0	17	18	10	92	2.04061	0.331128	1.96690607071	10.9128479958	4	1	-40287.768272	True	10
378	15	0	14	28	14	94	1.4608	0.205889	1.80274200439	9.58404612541	6	1	-39058.264708	True	14
405	10	0	9	1	40	107	406.095	1.56258e-46	0.522424936295	10.5472609997	1	2	-53257.224302	True	40
514	10	0	6	4	76	125	3073.78	0	0.627394914627	9.90907788277	1	1	-55576.737548	True	76
96	12	0	11	1	4	87	3.88262	0.146052	0.637530088425	12.0796501637	10	1	-48980.60616	True	4
308	15	1	13	23	16	93	6.84231	0.0484338	0.620538949966	6.56298613548	8	1	-28028.976713	True	16
